Instance,Best_Score,Average_Score
i01,5217,5924
i02,2566,3026
i03,11535,12582
i04,4269,4779
i05,17839,18852
i06,11659,11984
i07,13230,17973
i08,14596,15766
i09,14455,23070
i10,32955,35124
i11,32479,35412
i12,18887,19936
i13,28879,37038
i14,19208,22099
i15,31820,35429
i16,21510,22602
i17,108385,127839
i18,54259,57056
i19,76216,79124
i20,44924,48781
i21,55600,61231
i22,99055,109161
i23,64186,67342
i24,46039,49543
i25,22901,27473
i26,137080,149821
i27,160605,182668
i28,93283,97309
i29,31205,45766
i30,62724,64666
